Pin number,Pin name,Pin type,Pin description
A1,XC2,Analog input,Connection for 32 MHz crystal,
A2,DEC2,Power,1.3 V regulator supply decoupling (Radio supply),
A3,P0.28/AIN4,Digital I/O/Analog input,General purpose I/O./SAADC/COMP/LPCOMP input,
A4,P0.29/AIN5,Digital I/O/Analog input,General purpose I/O./SAADC/COMP/LPCOMP input,
A5,P0.30/AIN6,Digital I/O/Analog input,General purpose I/O./SAADC/COMP/LPCOMP input,
A6,DEC4,Power,1.3 V regulator supply decoupling/Input from DC/DC converter. Output from 1.3 V LDO,
A7,VDD,Power,Power supply,
B2,XC1,Analog input,Connection for 32 MHz crystal,
B3,P0.25,Digital I/O,General purpose I/O.,
B4,P0.27,Digital I/O,General purpose I/O.,
B5,P0.31/AIN7,Digital I/O/Analog input,General purpose I/O./SAADC/COMP/LPCOMP input,
B6,DCC,Power,DC/DC converter output,
B7,DEC1,Power,0.9 V regulator digital supply decoupling,
C2,DEC3,Power,Power supply decoupling,
C3,NC,N/A,Not connected,
C4,VSS,Power,Ground,
C5,VSS,Power,Ground,
C6,P0.02/AIN0,Digital I/O/Analog input,General purpose I/O/SAADC/COMP/LPCOMP input,
C7,P0.01/XL2,Digital I/O/Analog input,General purpose I/O/Connection for 32.768 kHz crystal (LFXO),
D1,ANT,RF,Single-ended radio antenna connection,
D2,VSS_PA,Power,Ground (Radio supply),
D3,P0.26,Digital I/O,General purpose I/O .,
D6,P0.03/AIN1,Digital I/O/Analog input,General purpose I/O/SAADC/COMP/LPCOMP input,
D7,P0.00/XL1,Digital I/O/Analog input,General purpose I/O/Connection for 32.768 kHz crystal (LFXO),
E1,P0.24,Digital I/O,General purpose I/O.,
E2,P0.23,Digital I/O,General purpose I/O.,
E3,VSS,Power,Ground,
E6,P0.04/AIN2,Digital I/O/Analog input,General purpose I/O/SAADC/COMP/LPCOMP input,
E7,P0.05/AIN3,Digital I/O/Analog input,General purpose I/O/SAADC/COMP/LPCOMP input,
F1,SWDCLK,Digital input,Serial wire debug clock input for debug and programming,
F2,P0.22,Digital I/O,General purpose I/O.,
F3,P0.19,Digital I/O,General purpose I/O,
F4,P0.11,Digital I/O,General purpose I/O,
F5,VSS,Power,Ground,
F6,P0.07,Digital I/O,General purpose I/O,
F7,P0.06,Digital I/O,General purpose I/O,
G1,SWDIO,Digital I/O,Serial wire debug I/O for debug and programming,
G2,P0.20/TRACECLK,Digital I/O,General purpose I/O/Trace port clock output,
G3,P0.17,Digital I/O,General purpose I/O,
G4,P0.13,Digital I/O,General purpose I/O,
G5,NFC2/P0.10,NFC input/Digital I/O,NFC antenna connection/General purpose I/O.,
G6,NFC1/P0.09,NFC input/Digital I/O,NFC antenna connection/General purpose I/O.,
G7,P0.08,Digital I/O,General purpose I/O,
H1,P0.21/nRESET,Digital I/O,General purpose I/O/Configurable as pin reset,
H2,P0.18/TRACEDATA[0],Digital I/O,General purpose I/O/Trace port output,
H3,P0.16/TRACEDATA[1],Digital I/O,General purpose I/O/Trace port output,
H4,P0.15/TRACEDATA[2],Digital I/O,General purpose I/O/Trace port output,
H5,P0.14/TRACEDATA[3],Digital I/O,General purpose I/O/Trace port output,
H6,P0.12,Digital I/O,General purpose I/O,
H7,VDD,Power,Power supply,
